392,281,276,605,748,sphere
392,292,285,605,782,sphere
392,286,282,606,815,sphere
414,290,285,605,843,sphere
394,275,271,605,334,sphere
394,277,273,605,399,sphere
394,278,276,603,905,sphere
394,282,277,604,861,sphere
393,280,275,606,580,sphere
391,295,287,606,549,sphere
391,313,299,605,257,sphere
391,313,304,605,421,sphere
391,309,303,603,511,sphere
393,338,321,604,540,sphere
392,324,316,605,310,sphere
392,315,310,605,376,sphere
392,358,336,606,413,sphere
392,372,352,605,425,sphere
392,376,358,605,232,sphere
392,378,362,605,212,sphere
392,378,364,605,215,sphere
392,378,364,605,275,sphere
391,378,364,605,69,sphere
392,380,367,605,71,sphere
392,381,370,605,78,sphere
392,381,370,605,68,sphere
392,381,370,605,97,sphere
392,381,370,605,112,sphere
392,381,369,604,65,sphere
392,381,370,604,105,sphere
392,381,370,604,117,sphere
392,382,372,605,477,sphere
392,380,368,605,68,sphere
392,381,369,605,64,sphere
392,381,370,604,64,sphere
392,382,371,605,64,sphere
392,380,369,606,71,sphere
392,379,366,604,150,sphere
392,377,364,605,198,sphere
392,378,364,605,287,sphere
392,378,364,605,433,sphere
392,377,363,605,447,sphere
392,377,362,606,502,sphere
392,377,361,605,459,sphere
392,376,360,605,152,sphere
392,369,346,604,91,sphere
391,376,357,604,89,sphere
391,377,361,603,103,sphere
391,377,363,603,136,sphere
391,377,363,604,136,sphere
392,377,364,603,148,sphere
392,377,364,602,173,sphere
391,377,364,604,182,sphere
391,376,363,603,190,sphere
391,377,364,603,214,sphere
391,377,363,604,145,sphere
391,378,364,604,88,sphere
391,378,365,604,69,sphere
391,378,365,605,70,sphere
392,377,364,603,70,sphere
391,377,364,603,74,sphere
391,378,364,603,77,sphere
392,377,364,605,86,sphere
392,377,364,604,94,sphere
392,377,364,604,108,sphere
391,376,363,603,121,sphere
391,375,363,604,127,sphere
392,378,366,604,90,sphere
392,381,372,604,66,sphere
392,381,374,604,65,sphere
392,378,369,603,78,sphere
392,373,361,604,127,sphere
391,367,353,604,987,sphere
392,362,343,604,906,sphere
392,368,351,604,111,sphere
392,372,356,603,212,sphere
391,371,357,603,214,sphere
391,373,359,604,180,sphere
391,373,359,605,220,sphere
391,374,360,604,216,sphere
392,373,360,604,206,sphere
392,372,359,604,259,sphere
392,360,351,604,287,sphere
392,363,351,603,278,sphere
391,364,352,603,313,sphere
391,356,346,603,287,sphere
392,358,346,603,258,sphere
392,359,347,603,278,sphere
392,359,347,603,304,sphere
391,364,350,604,341,sphere
391,359,347,603,382,sphere
392,352,342,603,399,sphere
391,352,340,603,421,sphere
391,347,337,603,457,sphere
392,340,331,603,490,sphere
391,336,327,603,528,sphere
392,347,333,602,528,sphere
