392,281,276,605,748
392,292,285,605,782
392,286,282,606,815
414,290,285,605,843
394,275,271,605,334
394,277,273,605,399
394,278,276,603,905
394,282,277,604,861
393,280,275,606,580
391,295,287,606,549
391,313,299,605,257
391,313,304,605,421
391,309,303,603,511
393,338,321,604,540
392,324,316,605,310
392,315,310,605,376
392,358,336,606,413
392,372,352,605,425
392,376,358,605,232
392,378,362,605,212
392,378,364,605,215
392,378,364,605,275
391,378,364,605,69
392,380,367,605,71
392,381,370,605,78
392,381,370,605,68
392,381,370,605,97
392,381,370,605,112
392,381,369,604,65
392,381,370,604,105
392,381,370,604,117
392,382,372,605,477
392,380,368,605,68
392,381,369,605,64
392,381,370,604,64
392,382,371,605,64
392,380,369,606,71
392,379,366,604,150
392,377,364,605,198
392,378,364,605,287
392,378,364,605,433
392,377,363,605,447
392,377,362,606,502
392,377,361,605,459
392,376,360,605,152
392,369,346,604,91
391,376,357,604,89
391,377,361,603,103
391,377,363,603,136
391,377,363,604,136
392,377,364,603,148
392,377,364,602,173
391,377,364,604,182
391,376,363,603,190
391,377,364,603,214
391,377,363,604,145
391,378,364,604,88
391,378,365,604,69
391,378,365,605,70
392,377,364,603,70
391,377,364,603,74
391,378,364,603,77
392,377,364,605,86
392,377,364,604,94
392,377,364,604,108
391,376,363,603,121
391,375,363,604,127
392,378,366,604,90
392,381,372,604,66
392,381,374,604,65
392,378,369,603,78
392,373,361,604,127
391,367,353,604,987
392,362,343,604,906
392,368,351,604,111
392,372,356,603,212
391,371,357,603,214
391,373,359,604,180
391,373,359,605,220
391,374,360,604,216
392,373,360,604,206
392,372,359,604,259
392,360,351,604,287
392,363,351,603,278
391,364,352,603,313
391,356,346,603,287
392,358,346,603,258
392,359,347,603,278
392,359,347,603,304
391,364,350,604,341
391,359,347,603,382
392,352,342,603,399
391,352,340,603,421
391,347,337,603,457
392,340,331,603,490
391,336,327,603,528
392,347,333,602,528
391,347,335,602,523
391,351,338,605,511
392,355,341,604,491
392,352,340,603,483
392,355,342,604,465
392,369,351,603,461
392,373,356,602,454
391,375,360,603,457
392,376,361,602,479
392,376,362,603,500
392,377,362,604,529
392,377,363,603,553
391,378,363,603,563
392,378,364,604,589
392,378,364,603,637
392,378,364,603,691
391,377,363,603,766
392,377,362,603,823
392,376,361,604,881
391,377,362,604,895
391,377,362,602,855
392,377,363,603,785
392,378,363,603,667
392,378,363,603,494
392,377,363,603,375
392,378,363,602,311
391,378,365,603,252
391,379,366,603,194
392,379,367,603,143
391,380,368,604,144
391,381,370,602,135
391,379,367,603,137
392,379,367,603,120
391,379,367,602,112
391,378,365,602,78
391,378,365,602,79
391,378,364,602,95
391,377,364,602,145
391,377,364,602,176
391,378,364,602,216
391,378,364,602,290
391,378,364,603,387
391,378,364,604,426
391,377,363,604,557
392,377,362,604,592
392,377,363,603,589
392,378,364,603,540
392,378,363,603,565
391,377,363,603,599
391,377,363,602,669
392,377,363,602,786
392,376,362,602,922
391,377,363,603,920
392,377,363,603,930
392,378,364,603,929
392,378,364,603,953
392,377,363,603,982
392,303,315,602,997
391,353,335,603,995
391,370,350,603,991
392,372,355,603,988
392,369,353,602,979
392,371,354,602,963
391,374,358,603,945
392,376,361,603,928
391,377,362,602,914
391,370,359,602,910
391,353,347,602,915
392,347,340,602,927
392,338,332,602,937
391,358,342,603,950
391,362,348,602,965
391,358,347,603,979
392,357,346,602,976
392,357,346,602,949
391,352,342,602,906
391,351,341,603,857
392,349,339,603,812
391,341,333,603,797
392,317,316,603,784
391,317,311,602,751
391,305,302,602,734
392,292,291,602,718
392,294,289,603,697
392,291,287,602,692
391,292,287,602,683
391,295,289,603,710
392,290,243,602,724
391,292,250,602,705
392,265,255,602,677
392,267,257,602,650
391,265,258,602,660
391,263,254,601,624
391,259,178,603,580
392,262,167,602,557
392,260,196,602,503
391,260,188,602,473
392,259,209,603,471
391,256,178,603,476
391,257,182,601,448
391,257,199,603,388
